lambda (nm) 	 Cabs 	 Csca 	 Cext 
3.54241	2.02662e-015	4.81573e-014	5.0184e-014
3.52228	2.11728e-015	5.30298e-014	5.51471e-014
3.50238	2.21072e-015	5.81374e-014	6.03481e-014
3.4827	2.30695e-015	6.34771e-014	6.57841e-014
3.46325	2.40608e-015	6.9054e-014	7.14601e-014
3.44401	2.50822e-015	7.48637e-014	7.73719e-014
3.42498	2.61362e-015	8.09161e-014	8.35297e-014
3.40616	2.72243e-015	8.72183e-014	8.99407e-014
3.38755	2.83477e-015	9.37793e-014	9.6614e-014
3.36914	2.95066e-015	1.00608e-013	1.03558e-013
3.35092	3.07003e-015	1.0771e-013	1.1078e-013
3.33291	3.19263e-015	1.15084e-013	1.18277e-013
3.31509	3.31827e-015	1.22736e-013	1.26054e-013
3.29745	3.44651e-015	1.30647e-013	1.34094e-013
3.28	3.57702e-015	1.38808e-013	1.42385e-013
3.26274	3.7096e-015	1.47207e-013	1.50916e-013
3.24566	3.8436e-015	1.55823e-013	1.59666e-013
3.22875	3.97913e-015	1.64634e-013	1.68613e-013
3.21203	4.11598e-015	1.73631e-013	1.77747e-013
3.19547	4.25399e-015	1.82792e-013	1.87046e-013
3.17908	4.39303e-015	1.92103e-013	1.96496e-013
3.16286	4.53299e-015	2.01561e-013	2.06094e-013
3.14681	4.67343e-015	2.11133e-013	2.15807e-013
3.13091	4.81393e-015	2.20799e-013	2.25613e-013
3.11518	4.95388e-015	2.30543e-013	2.35496e-013
3.0996	5.09248e-015	2.40316e-013	2.45409e-013
